type,year,condition,length_ft,beam_ft,hullMaterial,fuelType,numEngines,totalHP,price
1,2020,1,16.42,7.5,1,0,1,75,21255
1,2020,1,15,5,2,0,1,0,1645
1,2020,1,24.17,8.5,2,0,1,90,34445
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,20.17,7.83,1,1,1,250,53140
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,26.17,8.5,2,0,1,150,45140
1,2020,1,15.17,6.5,1,0,1,60,18650
1,2020,1,18.92,8.5,1,1,1,200,56400
1,2020,1,19.83,7.83,1,1,1,200,36240
1,2020,1,17.58,7.42,2,0,1,60,19995
1,2020,1,25.33,8.5,2,0,1,250,57765
1,2020,1,18.92,8.5,1,1,1,200,66240
1,2020,1,21.92,8.5,2,0,1,90,30310
1,2020,1,25.33,8.5,2,0,1,250,67165
1,2020,1,15.17,6.5,1,0,1,60,18250
1,2020,1,24.17,8.5,2,0,1,90,34045
1,2020,1,21.08,8.5,1,1,1,200,44755
1,2020,1,21,8.33,1,1,1,300,59905
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,18.58,8.17,2,0,1,150,32455
1,2020,1,16.67,6.42,2,1,1,50,12445
1,2020,1,16.67,6.42,2,1,1,50,12445
1,2020,1,20,8.17,2,0,1,60,24360
1,2020,1,15,5,2,0,1,0,1645
1,2020,1,21.08,8.5,1,1,1,150,40465
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,21.92,8.5,2,0,1,90,29395
1,2020,1,16.75,8.08,2,0,1,90,26920
1,2020,1,16.67,6.42,2,1,1,50,12960
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,21.08,8.5,1,1,1,200,48085
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,25.33,8.5,2,0,1,150,48845
1,2020,1,19.42,8.5,1,0,1,150,39215
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,25.33,8.5,2,0,1,250,57765
1,2020,1,16.67,6.42,2,1,1,50,12445
1,2020,1,21.17,7.92,1,1,1,250,61940
1,2020,1,21.17,7.92,1,1,1,250,56190
1,2020,1,18.5,7.58,3,0,1,115,31180
1,2020,1,16.67,6.42,2,1,1,50,12960
1,2020,1,15,5,2,0,1,0,1645
1,2020,1,18.5,7.58,3,0,1,115,31180
1,2020,1,19.17,7,2,0,1,90,22115
1,2020,1,13.83,4.42,2,0,1,0,1045
1,2020,1,24.17,8.5,2,0,1,115,30545
1,2020,1,16,6.33,2,0,1,50,18245
1,2020,1,19.42,7.75,1,1,1,150,37345
1,2020,1,17.17,6.92,1,0,1,75,22005
1,2020,1,15.17,6.5,1,0,1,60,18750
1,2020,1,16.67,6.42,2,1,1,50,12445
1,2020,1,18.17,8.5,2,0,1,150,35975
1,2019,1,10.25,3.75,9,1,1,0,6799
1,2012,2,58,16.13,9,2,3,1305,839811
1,2012,2,23,8.42,1,1,1,250,46500
1,2000,2,21,8,1,1,1,225,26900
1,1992,2,45,14.58,1,2,2,600,96500
1,2003,2,24,8.5,1,1,1,0,25800
1,2002,2,34,12,1,1,1,600,64750
1,2006,2,37,12,1,1,2,760,149999
1,2019,1,10.33,3.75,9,1,1,0,8799
1,2003,2,28,9,1,1,2,0,31995
1,2002,2,24.6,8,1,1,1,300,29900
1,2017,2,37,11.5,1,1,4,1400,659995
1,2020,1,21.25,8.5,1,1,2,0,47950
1,2020,1,19.42,8.17,1,1,1,0,32450
1,2020,1,21.25,8.5,1,1,2,0,45350
1,2020,1,19.42,8.17,1,1,1,0,38650
1,2019,1,11.75,4.17,9,1,1,0,13999
1,2007,2,26,8.5,1,1,2,500,98900
1,2004,2,29,9.5,1,1,2,450,49900
1,2008,2,27,8.5,1,1,1,0,29516
1,1992,2,31,11.67,1,1,2,770,94500
1,2010,2,28,9.33,1,1,2,600,119000
1,2007,2,20,8.25,1,1,1,0,22500
1,2018,2,25,8.42,1,1,2,800,132999
1,2015,2,29,16.13,1,1,2,600,169000
1,2019,1,23,8.5,2,1,1,115,31499
1,2018,2,34,13.08,1,2,1,425,379900
1,2019,2,39,11,1,1,1,1200,489000
1,2009,2,20,8.17,1,1,1,0,55000
1,2019,1,27,9,3,1,2,400,169875
1,2019,1,23,8.5,2,1,1,150,38499
1,2019,1,23,8.5,2,1,1,150,48499
2,1984,2,39,12,1,2,1,0,29000
1,2019,1,23,8.5,2,1,1,150,43499
1,2018,2,20.25,8,1,1,1,250,35000
1,2019,2,66,17.25,1,2,2,2000,2495000
1,2003,2,20,16.13,1,1,1,0,14999
1,2012,2,28.67,8.83,1,1,1,300,89500
1,1993,2,37,12.33,1,1,1,720,40000
1,2016,2,19,8,1,1,1,220,29990
1,2018,2,32.5,10,1,1,1,600,289900
1,2009,2,35,13,1,2,1,600,205000
1,2001,2,18,7.92,1,1,1,115,8000
1,1992,2,18,16.13,1,1,1,0,7000
1,2012,2,20.5,8.33,1,1,1,300,32000
1,2005,2,28,10,1,2,1,311,94950
1,2018,2,24,8,1,1,1,250,59900
1,2007,2,21,16.13,1,1,1,210,15000
1,1996,2,26,8.5,1,1,1,300,23900
1,2006,2,40,15,1,2,1,1600,349000
1,2002,2,38,13,1,1,2,740,79500
1,2018,2,17.17,6.83,1,1,1,90,26000
1,2005,2,39,9.6,1,1,1,900,175000
1,2014,2,16.67,7.25,2,1,1,115,16500
1,2005,2,50,15.25,1,2,2,1320,369900
1,2011,2,21,16.13,1,1,1,150,31900
1,1986,2,42,15,1,1,2,0,98000
1,2019,1,20,8.5,1,1,1,0,29012
1,2019,1,24,9,1,3,1,0,65775
1,2017,2,35,16.13,1,3,2,0,325995
1,2017,2,21,16.13,1,3,1,0,64995
1,2019,1,20,8.5,1,1,1,0,24971
1,2016,2,17,16.13,1,3,1,0,18995
1,2019,1,22,9,1,3,1,0,56150
1,1999,2,42,14,1,3,2,0,139000
1,1997,2,17,16.13,1,1,1,0,9900
1,1986,2,28,11.08,1,3,2,0,18995
1,1996,2,18,16.13,1,3,1,0,6995
1,2012,2,22,16.13,1,3,1,0,55995
1,1997,2,32,11,1,1,2,0,29995
1,2018,1,24,8.5,2,3,1,0,87971
1,2000,2,23,8.5,1,3,1,0,11995
1,2019,1,16,6.56,2,3,1,0,17401
1,2001,2,13,16.13,1,3,1,0,12995
1,2019,1,19,8.5,1,3,1,0,31971
1,1977,2,58,16.13,1,2,2,0,299000
1,2006,2,26,8.5,1,1,1,0,46900
1,1974,2,30,9.5,1,3,1,0,10500
1,2019,1,21,9,1,3,1,0,61650
1,1990,2,40,16.13,1,1,2,0,49900
1,2011,2,31,10,1,1,2,0,105000
1,2015,2,27,9,1,3,1,0,64900
1,2005,2,26,8.5,1,3,1,0,25000
1,2003,2,37,16.13,1,3,2,0,109995
1,1995,2,22,7.92,1,3,1,0,11995
1,2019,1,20,8.5,1,3,1,0,121251
1,1988,2,17,16.13,1,3,1,0,3995
1,2019,1,21,9,1,3,1,0,59696
1,2016,2,18,7.42,1,3,1,0,27995
1,2000,2,33,1.83,1,3,2,0,47995
1,2018,1,24,16.13,1,3,1,0,67532
1,2015,2,54,16.13,1,3,2,0,799995
1,2017,2,23,16.13,1,3,1,0,42995
1,2004,2,35,16.13,1,3,2,0,109495
1,2005,2,20,16.13,1,3,1,0,19995
1,2020,1,22,8.33,1,1,1,0,55168
1,2003,2,22,16.13,1,3,1,0,18995
1,1997,2,40,16.13,1,3,2,0,71640
1,2004,2,42,16.13,1,3,2,0,229900
1,2017,2,19,16.13,1,3,1,0,29900
