2020,21.17,7.92,1,250,61940
2020,21.17,7.92,1,250,56190
2020,18.5,7.58,1,115,31180
2020,16.67,6.42,1,50,12960
2020,15,5,1,0,1645
2020,18.5,7.58,1,115,31180
2020,19.17,7,1,90,22115
2020,13.83,4.42,1,0,1045
2020,24.17,8.5,1,115,30545
2020,16,6.33,1,50,18245
2020,19.42,7.75,1,150,37345
2020,17.17,6.92,1,75,22005
2020,15.17,6.5,1,60,18750
2020,16.67,6.42,1,50,12445
2020,18.17,8.5,1,150,35975
2019,10.25,3.75,1,0,6799
2012,58,16.13,3,1305,839811
2012,23,8.42,1,250,46500
2000,21,8,1,225,26900
1992,45,14.58,2,600,96500
2003,24,8.5,1,0,25800
2002,34,12,1,600,64750
2006,37,12,2,760,149999
2019,10.33,3.75,1,0,8799
2003,28,9,2,0,31995
2002,24.6,8,1,300,29900
2017,37,11.5,4,1400,659995
2020,21.25,8.5,2,0,47950
2020,19.42,8.17,1,0,32450
2020,21.25,8.5,2,0,45350
2020,19.42,8.17,1,0,38650
2019,11.75,4.17,1,0,13999
2007,26,8.5,2,500,98900
2004,29,9.5,2,450,49900
2008,27,8.5,1,0,29516
1992,31,11.67,2,770,94500
2010,28,9.33,2,600,119000
2007,20,8.25,1,0,22500
2018,25,8.42,2,800,132999
2015,29,16.13,2,600,169000
2019,23,8.5,1,115,31499
2018,34,13.08,1,425,379900
2019,39,11,1,1200,489000
2009,20,8.17,1,0,55000
2019,27,9,2,400,169875
2019,23,8.5,1,150,38499
2019,23,8.5,1,150,48499
1984,39,12,1,0,29000
2019,23,8.5,1,150,43499
2018,20.25,8,1,250,35000
2019,66,17.25,2,2000,2495000
2003,20,16.13,1,0,14999
2012,28.67,8.83,1,300,89500
1993,37,12.33,1,720,40000
2016,19,8,1,220,29990
2018,32.5,10,1,600,289900
2009,35,13,1,600,205000
2001,18,7.92,1,115,8000
1992,18,16.13,1,0,7000
2012,20.5,8.33,1,300,32000
2005,28,10,1,311,94950
2018,24,8,1,250,59900
2007,21,16.13,1,210,15000
1996,26,8.5,1,300,23900
2006,40,15,1,1600,349000
2002,38,13,2,740,79500
2018,17.17,6.83,1,90,26000
2005,39,9.6,1,900,175000
2014,16.67,7.25,1,115,16500
2005,50,15.25,2,1320,369900
2011,21,16.13,1,150,31900
1986,42,15,2,0,98000
2019,20,8.5,1,0,29012
2019,24,9,1,0,65775
